"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1961","1961","IDX","Index","0","Units","2015_100","2015=100",0.491314,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1962","1962","IDX","Index","0","Units","2015_100","2015=100",0.5005343,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1963","1963","IDX","Index","0","Units","2015_100","2015=100",0.5179534,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1964","1964","IDX","Index","0","Units","2015_100","2015=100",0.5574037,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1965","1965","IDX","Index","0","Units","2015_100","2015=100",0.5609198,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1966","1966","IDX","Index","0","Units","2015_100","2015=100",0.571995,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1967","1967","IDX","Index","0","Units","2015_100","2015=100",0.6111645,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1968","1968","IDX","Index","0","Units","2015_100","2015=100",0.6545953,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1969","1969","IDX","Index","0","Units","2015_100","2015=100",0.7068931,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1970","1970","IDX","Index","0","Units","2015_100","2015=100",0.7509463,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1971","1971","IDX","Index","0","Units","2015_100","2015=100",0.7872384,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1972","1972","IDX","Index","0","Units","2015_100","2015=100",0.8714032,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1973","1973","IDX","Index","0","Units","2015_100","2015=100",1.072699,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1974","1974","IDX","Index","0","Units","2015_100","2015=100",1.118143,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1975","1975","IDX","Index","0","Units","2015_100","2015=100",1.304877,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1976","1976","IDX","Index","0","Units","2015_100","2015=100",1.49723,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1977","1977","IDX","Index","0","Units","2015_100","2015=100",1.62398,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1978","1978","IDX","Index","0","Units","2015_100","2015=100",1.762308,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1979","1979","IDX","Index","0","Units","2015_100","2015=100",2.043229,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1980","1980","IDX","Index","0","Units","2015_100","2015=100",2.338166,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1981","1981","IDX","Index","0","Units","2015_100","2015=100",2.581915,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1982","1982","IDX","Index","0","Units","2015_100","2015=100",2.638587,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1983","1983","IDX","Index","0","Units","2015_100","2015=100",2.799461,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1984","1984","IDX","Index","0","Units","2015_100","2015=100",3.101711,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1985","1985","IDX","Index","0","Units","2015_100","2015=100",3.44296,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1986","1986","IDX","Index","0","Units","2015_100","2015=100",3.701334,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1987","1987","IDX","Index","0","Units","2015_100","2015=100",4.353364,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1988","1988","IDX","Index","0","Units","2015_100","2015=100",5.15408,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1989","1989","IDX","Index","0","Units","2015_100","2015=100",5.946875,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",6.172952,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",6.692139,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",7.869448,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",9.283804,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",10.76092,,
