DATAFLOW;FREQ;REF_AREA;COMMODITY;TRANSACTION;TIME_PERIOD;OBS_VALUE;UNIT_MULT;UNIT_MEASURE;OBS_STATUS
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1990;105;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1991;94;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1992;8;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1993;7;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1994;6;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1995;5;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1996;3;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1997;2;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1998;2;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;1999;1;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2000;1;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2001;26;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2002;21;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2003;35;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2004;34;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2005;33;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2006;35;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2007;243;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2008;347;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2009;500;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2010;725;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2011;1480;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2012;1240;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2013;1347;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2014;1517.4;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2015;1364.8;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2016;1698.2;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2017;2191.4;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2018;2445;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2019;2139;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2020;1820;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;01;2021;1979;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;03;1990;0;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;03;1991;0;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;03;1992;0;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;03;2019;0.5;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;03;2020;0;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;1990;0;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;1991;0;3;TN;E
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;1992;0;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;2009;8;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;2010;20;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;2011;46;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;2012;203;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;2013;231;3;TN;A
UNSD:DF_UNDATA_ENERGY(1.0);A;004;0100;04;2014;252;3;TN;A
